id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
626,Spider-Woman IV,,,,,,,Charlotte Witter,No alter egos found.,['Spider-Woman'],-,Amazing Spider-Man Volume 2 #5 (# 446),Marvel Comics,bad,Female,,"[""5'10"", '178 cm']","['128 lb', '58 kg']",Red,White,"Fashion designer, professional criminal",New York City,-,"Cassandra Webb (aka Madame Web, grandmother)",https://www.superherodb.com/pictures2/portraits/10/100/883.jpg
627,Spock,81.0,18.0,17.0,40.0,56.0,40.0,S'chn T'gai Spock,No alter egos found.,['-'],-,Star Trek S01E01: The Man Trap,Star Trek,good,Male,Human-Vulcan,"[""6'1"", '185 cm']","['180 lb', '81 kg']",Brown,Black,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10566.jpg
628,Spyke,50.0,12.0,17.0,60.0,48.0,30.0,Evan Daniels,No alter egos found.,"['Porcupine', 'Armadillo']",-,"""Speed & Spyke"" (December 9, 2000)",Marvel Comics,good,Male,Mutant,"[""6'0"", '183 cm']","['185 lb', '83 kg']",Brown,Blond,-,-,Morlocks; Formerly: X-Men,"Mr. Daniels (father), Vivian Munroe-Daniels (mother), Storm (maternal aunt)",https://www.superherodb.com/pictures2/portraits/10/100/1455.jpg
629,Stacy X,,,,,,,,No alter egos found.,['-'],-,-,Marvel Comics,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/485.jpg
630,Star-Lord,69.0,20.0,33.0,50.0,25.0,70.0,Peter Jason Quill,No alter egos found.,['Starlord'],-,"Marvel Preview #4 (January, 1976)",Marvel Comics,good,Male,Human-Spartoi,"[""6'2"", '188 cm']","['175 lb', '79 kg']",Blue,Blond,Adventurer; Royal Prince of Spartax,"C.I.T.T.; formerly Kree space; Hala, Daedalus 5","Guardians of the Galaxy (leader); formerly unnamed commando team, United Front, Imperial Guard, partner of Ship, NASA","Eson (grandfather, deceased), Gareth (great-uncle, deceased), Jason of Sparta (father), Meredith Quill (mother, deceased), Victoria (half-sister), Kip Holm (adopted brother), Sandy (adopted sister in-law), Alain (adopted niece), Rhys, Robyn (adopted nephews), Kitty Pryde (fiance), Unnamed former Symbiote",https://www.superherodb.com/pictures2/portraits/10/100/10015.jpg
631,Stardust,88.0,85.0,100.0,110.0,100.0,85.0,,No alter egos found.,['Entity Lambda-Zero'],-,-,Marvel Comics,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,Herald of Galactus,-,Heralds of Galactus ; Formerly United Front,-,https://www.superherodb.com/pictures2/portraits/10/100/1052.jpg
632,Starfire,50.0,80.0,33.0,85.0,59.0,70.0,Koriand'r,No alter egos found.,"[""Princess Koriand'r"", 'Kory Anders', 'Nova']",Tamaran,"DC Comics Presents #26 (October, 1980)",DC Comics,good,Female,Tamaranean,"[""6'4"", '193 cm']","['158 lb', '71 kg']",Green,Auburn,Model,"Formerly Titans Island, New York City; Titans Tower, San Francisco","Formerly R.E.B.E.L.S., Justice League of America, Teen Titans, Outsiders","King Myand'r (father), Queen Luand'r (mother), Queen Komand'r (sister, Blackfire), Ryand'r (brother), Prince Karras (husband, deceased), Ph'yzzon (husband, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/786.jpg
633,Stargirl,63.0,80.0,25.0,90.0,87.0,55.0,Courtney Whitmore,No alter egos found.,"['Star-Spangled Kid', 'Star', 'Stars']",-,"Stars and S.T.R.I.P.E. #0 (July, 1999)",DC Comics,good,Female,Human,"[""5'5"", '165 cm']","['137 lb', '62 kg']",Blue,Blond,-,"Manhattan, New York City; Formerly Beverly Hills, California; later Blue Valley, Nebraska; later Metropolis",Justice Society of America,"Barbara Whitmore-Dugan (mother); Sam Kurtis (father, deceased); Pat Dugan (S.T.R.I.P.E., Stepfather); Mike Dugan (stepbrother); Patricia Dugan (sister)",https://www.superherodb.com/pictures2/portraits/10/100/1326.jpg
634,Static,69.0,8.0,42.0,50.0,90.0,40.0,Virgil Hawkins,No alter egos found.,"['Sparky', 'Virg', 'V', 'V-Man']","Paris Island, Dakota City","Static #1 (June, 1993)",DC Comics,good,Male,Mutant,"[""5'7"", '170 cm']","['140 lb', '63 kg']",Brown,Black,Student,"Titans Tower, formerly Abandoned Gas Station of Solitude, Dakota City","Shadow Cabinet, Heroes, Teen Titans","Robert Hawkins (father), Jean Hawkins (mother), Sharon Hawkins (sister), Homer Hawkins (grandfather), Teshom� Hawkins (uncle, deceased),",https://www.superherodb.com/pictures2/portraits/10/100/1471.jpg
635,Steel,81.0,82.0,53.0,90.0,64.0,64.0,John Henry Irons,No alter egos found.,"['Man of Steel', 'Henry Johnson']","Washington, D.C.",Adventures of Superman #500 (1993),DC Comics,good,Male,,"[""6'7"", '201 cm']","['290 lb', '131 kg']",Brown,No Hair,"Weapons designer, former steelworker","Steelworks, Metropolis; formerly Jersey City and Washington D.C.",Reserve member of the Justice League of America,"Mrs. Irons (mother, deceased), Mr. Irons (father, deceased), Maternal Grandmother (deceased), maternal grandfather (deceased), Butter (grandfather), Bess (grandmother, deceased), Clay Irons (brother), Jemahl Irons (nephew), Blondell Irons (sister-in-law), Natasha Irons (Starlight, niece), Paco (nephew), Tyke (former foster nephew)",https://www.superherodb.com/pictures2/portraits/10/100/1383.jpg
636,Stephanie Powell,69.0,10.0,54.0,10.0,24.0,10.0,Stephanie Powell,No alter egos found.,['-'],-,No Ordinary Family S01E01 (2010),ABC Studios,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,Blond,Executive Vice President of Research at Global Tech,-,-,"Jim Powell (husband), Daphne Powell (daughter), JJ Powell (son)",https://www.superherodb.com/pictures2/portraits/10/100/1355.jpg
637,Steppenwolf,94.0,100.0,83.0,100.0,100.0,100.0,,No alter egos found.,['Steppenwulf'],-,The New Gods #7,DC Comics,bad,Male,New God,"[""6'0"", '183 cm']","['203 lb', '91 kg']",Red,Black,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10653.jpg
638,Storm,75.0,10.0,47.0,30.0,88.0,75.0,Ororo Munroe,No alter egos found.,"[""Ororo Iqadi T'Challa"", 'Queen Ororo', 'Ororo Komo Wakandas,White Queen', 'Weather Witch', 'Windrider', 'Goddess', 'Mistress of the Elements', ""Princess of N'Dare"", 'High Priestess Windrider', 'Goddess', 'Mistress of the Elements', ""Princess of N'Dare"", 'High Priestess']","New York, New York","Giant-Size X-Men #1 (May, 1975)",Marvel Comics,good,Female,Mutant,"[""5'11"", '180 cm']","['127 lb', '57 kg']",Blue,White,Adventurer,"Xavier Institute, Salem Center, Westchester County, New York State","X-Men (Jean Grey School member, leader); formerly X-Force (Strike Team); Murder Circus (brainwashed), Extinction Team, Avengers[3], Fantastic Four, X.S.E., X-Treme X-Men, Tokyo Arena, The Twelve, Seven Brides of Set, Hellfire Club (Inner Circle), Morlocks","Ayesha of Balobedu (ancestor), Ashake of Egypt (ancestor), Ashake of Mero� (ancestor), unnamed ancestor, Harriet Munroe (paternal grandmother), unnamed paternal grandfather, unnamed maternal grandmother, David Munroe (father, deceased), N'Dar� Munroe (mother, deceased), Ainet (unofficial foster mother), Achmed El Gib�r (unofficial foster father), Colonel Shetani (maternal uncle), unnamed paternal aunt (deceased), David Munroe, Jr. (cousin), Munroe Family (relatives), Black Panther (T'Challa) (ex-husband, marriage annulled)",https://www.superherodb.com/pictures2/portraits/10/100/135.jpg
639,Stormtrooper,10.0,8.0,8.0,15.0,5.0,20.0,,No alter egos found.,['-'],-,Star Wars: Episode IV - A New Hope (1977),George Lucas,bad,Male,Human,"[""6'0"", '183 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10539.jpg
640,Sunspot,63.0,63.0,35.0,25.0,90.0,70.0,Roberto DaCosta,No alter egos found.,"['Robert DaCosta', 'Bobby; Black Rook', 'Black King', 'Reignfire']","Rio de Janeiro, Brazil","Marvel Graphic Novel #4 (October, 1982)",Marvel Comics,good,Male,Mutant,"[""5'8"", '173 cm']","['170 lb', '77 kg']",brown,black,"Adventurer, businessman","1128 Mission Street, San Francisco, California","Avengers; formerly X-Men, New Mutants, Young X-Men, X-Corporation (Los Angeles branch), MLF, X-Force, Fallen Angels, Hellfire Club, Bratpack","Emmanuel da Costa (father, deceased), Nina da Costa (mother), Reignfire (genetic copy, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/138.jpg
641,Superboy,75.0,95.0,83.0,90.0,95.0,60.0,Kon-El / Conner Kent,No alter egos found.,"['Experiment 13; Superman; Project: Superman; Carl Krummett; Project: Lionel Luthor; The Metropolis Kid', 'Superman']",Project Cadmus cloning facility,"Adventures of Superman #500 (June, 1993)",DC Comics,good,Male,,"[""5'7"", '170 cm']","['150 lb', '68 kg']",Blue,Black,-,San Francisco; Smallville; Formerly Metropolis; Formerly Honolulu,"Teen Titans, Legion of Super-Heroes, Team Superman; Formerly Young Justice, Project Cadmus, Ravers","Superman (Kryptonian genetic template), Lex Luthor (Human genetic template), Match (clone)",https://www.superherodb.com/pictures2/portraits/10/100/789.jpg
642,Superboy-Prime,94.0,100.0,100.0,100.0,100.0,85.0,Kal-El,No alter egos found.,['Superman-Prime; Prime; Superboy; Clark Kent; Clarkie; Time Trapper'],Krypton (Earth-Prime),"DC Comics Presents #87 (November, 1985)",DC Comics,bad,Male,Kryptonian,"[""5'11"", '180 cm']","['170 lb', '77 kg']",Blue,Black / Blue,-,"currently a recreation of Earth-Prime, formerly Qward, Anti-Matter Universe.","Formerly Black Lantern Corps, Legion of Super-Villains, Sinestro Corps","Jor-El (father; deceased); Lara (mother, deceased); Jerry Kent (adoptive father); Naomi Kent (adoptive mother)",https://www.superherodb.com/pictures2/portraits/10/100/1535.jpg
643,Supergirl,94.0,100.0,100.0,100.0,100.0,75.0,Kara Zor-El,No alter egos found.,"['Linda Lang', 'Kara-El', 'Kara Kent', 'Flamebird', 'Trinity Child', 'Teen of Tomorrow', 'The Girl of Steel', 'The Maid of Might', 'The Princess of Power', 'Mighty Maid', 'Claire Connors', 'Bluebird']","Argo City, Krypton","Superman/Batman #8 (May, 2004)",DC Comics,good,Female,Kryptonian,"[""5'5"", '165 cm']","['120 lb', '54 kg']",Blue,Blond,"Intern, Adventurer, Student, Crime-Fighter",Metropolis,"Formerly Justice League of America, Supermen of America, Justice League of Amazons, Kent Family, Superman Family, Kryptonian Science Guild, Teen Titans, Legion of Super-Heroes, Outsiders","Zor-El (father), Allura In-Ze (mother), Jor-El II (uncle, deceased), Lara Lor-Van (aunt, deceased), Kal-El (Superman,Clark Kent, cousin), Lois Lane (cousin-in-law), Jonathan Kent (adopted uncle), Martha Kent (adopted aunt), Kon-El (Superboy, Conner Kent, clone cousin, deceased), Nim-El (uncle), Dondra Klu-Ta (aunt), Don-El (cousin), Jor-El I (praternal grandfather, deceased), Nimda An-Dor (paternal grandmother, deceased), Lar-Van (maternal grandfather, deceased), Lara Rok-Var (maternal grandmother, deceased), Val-El, Sul-El, Tala-El, Hatu-El, Gam-El (ancestors, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/790.jpg
644,Superman,94.0,100.0,100.0,100.0,100.0,85.0,Clark Kent,Superman Prime One-Million,"['Clark Joseph Kent', 'The Man of Steel', 'the Man of Tomorrow', 'the Last Son of Krypton', 'Big Blue', 'the Metropolis Marvel', 'the Action Ace']",Krypton,ACTION COMICS #1,Superman Prime One-Million,good,Male,Kryptonian,"[""6'3"", '191 cm']","['225 lb', '101 kg']",Blue,Black,Reporter for the Daily Planet and novelist,Metropolis,"Justice League of America, The Legion of Super-Heroes (pre-Crisis as Superboy); Justice Society of America (pre-Crisis Earth-2 version); All-Star Squadron (pre-Crisis Earth-2 version)","Lois Lane (wife), Jor-El (father, deceased), Lara (mother, deceased), Jonathan Kent (adoptive father), Martha Kent (adoptive mother), Seyg-El (paternal grandfather, deceased), Zor-El (uncle, deceased), Alura (aunt, deceased), Supergirl (Kara Zor-El, cousin), Superboy (Kon-El/Conner Kent, partial clone)",https://www.superherodb.com/pictures2/portraits/10/100/791.jpg
645,Swamp Thing,88.0,95.0,25.0,100.0,100.0,55.0,Alec Holland,No alter egos found.,"['Green Man', 'Swampy', 'the Weed', 'Le Bon Gumbo', 'Smalsh-Yegger (on Rann)']",-,"Swamp Thing #1 (November, 1972)",DC Comics,bad,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",Red,No Hair,"Planet Elemental, former Biochemist",-,"formerly (Parliament of Trees; Parliament of Stones, Parliament of Flames, Parliament of Waves, and Parliament of Vapors), The Parliament of Worlds","Larry Holland (father, deceased); Alice Holland (mother, deceased); Edward Holland (brother); Linda Holland (first wife, deceased); Abigail Holland (second wife); Tefe Holland (daughter); Gregori Arcane (father-in-law, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/792.jpg
646,Swarm,75.0,18.0,50.0,90.0,38.0,35.0,Fritz von Meyer,No alter egos found.,['-'],-,"Champions #14 (July, 1977)",Marvel Comics,bad,Male,Mutant,"[""6'5"", '196 cm']","['104 lb', '47 kg']",Yellow,No Hair,Ph.D. in toxicology & entomology,Formerly South Africa,"Leader of the All-New Sinister Six; formerly Exterminators, Nazi Party",-,https://www.superherodb.com/pictures2/portraits/10/100/10428.jpg
647,Sylar,75.0,10.0,12.0,28.0,91.0,56.0,Gabriel Gray,No alter egos found.,"['Gabriel Sylar', ""Drew O'Grady"", 'Dr. Suresh', 'Zane Taylor', 'Isaac Mendez']",-,-,NBC - Heroes,bad,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,Timepiece restorer,"New York, NY",-,Virginia Gray (mother),https://www.superherodb.com/pictures2/portraits/10/100/953.jpg
648,Synch,75.0,67.0,23.0,28.0,74.0,56.0,Everett Thomas,No alter egos found.,['-'],-,X-Men #36 (1994),Marvel Comics,good,Male,,"[""5'11"", '180 cm']","['165 lb', '74 kg']",Brown,Black,Student,Massachusetts Academy,Generation X,"Stan Thomas (father), Ida Thomas (mother), Kim Ho Twae (adopted sister)",https://www.superherodb.com/pictures2/portraits/10/100/175.jpg
649,T-1000,75.0,34.0,33.0,100.0,100.0,75.0,Cyberdyne Systems Series 1000 Terminator,No alter egos found.,"['T-1001', 'T-1002']",-,Terminator 2: Judgment Day,Dark Horse Comics,bad,Male,Android,"[""6'0"", '183 cm']","['325 lb', '146 kg']",-,-,-,-,Skynet,-,https://www.superherodb.com/pictures2/portraits/10/100/10411.jpg
650,T-800,75.0,34.0,17.0,60.0,73.0,65.0,Cyberdyne Systems Series 800 Terminator Model 101,No alter egos found.,['Terminator'],-,The Terminator (1984),Dark Horse Comics,bad,Male,Cyborg,"['-', '0 cm']","['390 lb', '176 kg']",Red,-,Assassin,-,Skynet,-,https://www.superherodb.com/pictures2/portraits/10/100/10409.jpg
651,T-850,75.0,80.0,25.0,90.0,83.0,75.0,Cyberdyne Systems Series 850 Terminator,No alter egos found.,['Terminator'],-,Terminator 3: Rise of the Machines (2003),Dark Horse Comics,bad,Male,Cyborg,"['-', '0 cm']","['440 lb', '198 kg']",Red,-,Assassin,-,Skynet,-,https://www.superherodb.com/pictures2/portraits/10/100/10410.jpg
652,T-X,75.0,63.0,29.0,85.0,100.0,80.0,Cyberdyne Systems Series X Terminator,No alter egos found.,['-'],-,-,Dark Horse Comics,bad,Female,Cyborg,"['-', '0 cm']","['330 lb', '149 kg']",-,-,Assassin / Genesis Overseer,-,Skynet,-,https://www.superherodb.com/pictures2/portraits/10/100/10412.jpg
653,Taskmaster,75.0,12.0,50.0,20.0,63.0,100.0,Tony Masters,No alter egos found.,['-'],-,Avengers #195,Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['220 lb', '99 kg']",Brown,Brown,"Sheriff, Assassin, Mercenary; formerly Military Trainer, Combat Instructor, Head of Initiative training camp","Bagalia; A.I.M Island, Taskmaster's Academy",-,"Mercedes Merced (wife), Jeanne Foucault (Finesse, alleged daughter)",https://www.superherodb.com/pictures2/portraits/10/100/21.jpg
654,Tempest,38.0,10.0,45.0,28.0,66.0,60.0,Angel Salvadore Bohusk,Angel Salvadore,['-'],-,"New X-Men #118 (November, 2001)",Angel Salvadore,good,Female,,"[""5'4"", '163 cm']","['121 lb', '54 kg']",Brown,Black,-,-,Formerly New Warriors; Special Class,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;,https://www.superherodb.com/pictures2/portraits/10/100/1407.jpg
655,Thanos,100.0,100.0,33.0,100.0,100.0,80.0,Thanos,No alter egos found.,"['The Mad Titan', 'Masterlord', 'The Overmaster', 'Chins']",Titan,Iron Man #55,Marvel Comics,bad,Male,Eternal,"[""6'7"", '201 cm']","['985 lb', '443 kg']",Red,No Hair,"Conqueror, worshiper of Death","Mobile, formerly Sanctuary II, Titan","Zodiac (ally); formerly Infinity Watch, Defenders","A'Lars (father); Sui-San (mother, deceased); Eros (brother);Kronos (paternal Grandfather, deceased); Daina (paternal grandmother, deceased); Zuras (uncle, deceased); Thena (cousin); Gamora (foster daughter);Nebula (alleged granddaughter); Rot (""child"" by Death);",https://www.superherodb.com/pictures2/portraits/10/100/1305.jpg
656,The Cape,38.0,10.0,23.0,32.0,22.0,64.0,Vince Faraday,No alter egos found.,['Cape'],-,The Cape S01E01 (2011),,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,"Trip Faraday (son), Dana Thompson-Faraday (wife)",https://www.superherodb.com/pictures2/portraits/10/100/1375.jpg
657,The Comedian,63.0,14.0,17.0,10.0,12.0,80.0,Edward Morgen Blake,No alter egos found.,['Eddie Blake'],-,"Watchmen #1 (September, 1986)",DC Comics,neutral,Male,Human,"[""6'2"", '188 cm']","['225 lb', '101 kg']",Brown,Black,Former Adventurer; Government Agent,New York City,"Formerly Crimebusters, Minutemen","Silk Spectre (Laurel ""Laurie"" Juspeczyk) (daughter)",https://www.superherodb.com/pictures2/portraits/10/100/1062.jpg
658,Thing,75.0,84.0,21.0,100.0,38.0,80.0,Ben Grimm,No alter egos found.,"['Blackbeard the Pirate', 'Grim Ben', 'Dr. Josiah Verpoorteen']","New York City, New York","Fantastic Four #1 (November, 1961)",Marvel Comics,good,Male,Human / Radiation,"[""6'0"", '183 cm']","['500 lb', '225 kg']",Blue,No Hair,"Adventurer, former Air Force test pilot","Baxter Building, New York City, New York (formerly) Four Freedoms Plaza, Pier Four;","Fantastic Four formerly Avengers West Coast, Unlimited Class Wrestling Federation, Thunderiders","Daniel (father, deceased), Elsie (mother, deceased), Daniel Jr. (brother, deceased), Jacob ('Jake,' uncle), Alyce (aunt, deceased), Pentunia ('Penny,' aunt, Jacob's second wife)",https://www.superherodb.com/pictures2/portraits/10/100/139.jpg
659,Thor,69.0,100.0,83.0,100.0,100.0,100.0,Thor Odinson,Rune King Thor,"['Donald Blake', 'Sigurd Jarlson', 'Jake Olsen', 'Donar the Mighty']",Asgard,"Journey into Mystery #83 (August, 1962)",Rune King Thor,good,Male,Asgardian,"[""6'6"", '198 cm']","['640 lb', '288 kg']",Blue,Blond,King of Asgard; formerly EMS Technician; Physician,"New York, New York",Avengers,"Odin (father), Gaea (mother), Frigga (step-mother), Loki (step-brother), Vidar (half-brother), Buri (paternal great-grandfather), Bolthorn (maternal great grandfather), Bor (grandfather), Bestla (grandmother), Vili (uncle), Ve (uncle), Sigyn (former sister-in-law), Hela (alleged niece), Jormungand (alleged nephew), Fernis Wolf (alleged nephew)",https://www.superherodb.com/pictures2/portraits/10/100/140.jpg
660,Thor Girl,75.0,83.0,70.0,84.0,100.0,70.0,Tarene,No alter egos found.,"['Asgard Lass', 'the Designate', 'the Destroyer', 'Hammerette', 'Hammer Girl', 'Hammer Lass', 'Tara Olson', 'Spirit of the Jewel', 'the Supreme', 'Thoreta', 'Thorita', 'Thor Lass']",-,"Thor, Volume 2, #22; (as Thor Girl) Thor, Volume 2, #33",Marvel Comics,good,Female,Asgardian,"[""5'9"", '175 cm']","['317 lb', '143 kg']",Blue,Blond,-,"Camp Hammond; FormerlyNew York City, Formerly Asgard",Ally of the Asgardians,-,https://www.superherodb.com/pictures2/portraits/10/100/1296.jpg
661,Thunderbird,50.0,32.0,27.0,32.0,13.0,70.0,John Proudstar,No alter egos found.,['-'],"Camp Verde, Arizona",Giant-Size X-Men #1 (1975),Marvel Comics,good,Male,,"[""6'1"", '185 cm']","['225 lb', '101 kg']",Brown,Black,"Former adventurer, student, Marine","Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","X-Men, formerly US Marine Corp","Unidentified grandfather (deceased), Neal Proudstar (father, deceased), Maria Proudstar (mother, deceased), James Proudstar (Warpath, brother)",https://www.superherodb.com/pictures2/portraits/10/100/611.jpg
662,Thunderbird II,,,,,,,James Proudstar,Warpath,['-'],-,-,Warpath,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/927.jpg
663,Thunderbird III,,,,,,,Neal Shaara,No alter egos found.,['-'],Bangladesh,-,Marvel Comics,good,Male,,"[""5'9'"", '175 cm']","['165 lb', '74 kg']",Brown,Black,Adventurer,-,"None; formerly X-Men, X-Corporation","Sanjit (brother,deceased)",https://www.superherodb.com/pictures2/portraits/10/100/141.jpg
664,Thunderstrike,63.0,80.0,70.0,84.0,42.0,72.0,Eric Kevin Masterson,No alter egos found.,['Thor'],-,(as Masterson) Thor #391; (as Thor) Thor #432; (as Thunderstrike) Thunderstrike #1,Marvel Comics,good,Male,,"[""6'6"", '198 cm']","['640 lb', '288 kg']",Blue,Blond,"(as Thunderstrike) Adventurer, crimefighter, (as Masterson) Architect",-,"(At time of death) Avengers; (Formerly) Legion of the Unliving, Thor Corps","Marcy Masterson Steele (wife, divorced), Kevin Masterson (son)",https://www.superherodb.com/pictures2/portraits/10/100/177.jpg
665,Thundra,38.0,81.0,32.0,64.0,26.0,54.0,Thundra,No alter egos found.,['-'],-,"Fantastic Four #129 (December, 1972)",Marvel Comics,good,Female,,"[""7'2"", '218 cm']","['350 lb', '158 kg']",Green,Red,"Ruler, warrior",Mobile; United Sisterhood Republic of North America,"Lady Liberators; Empress of the Sisterhood; formerly Frightful Four, Fantastic Four, former agent of Roxxon Oil Corporation","Superia (alleged ancestor), Arkon (consort) Lyra (alternate reality daughter)",https://www.superherodb.com/pictures2/portraits/10/100/508.jpg
666,Tiger Shark,38.0,72.0,46.0,70.0,51.0,28.0,Todd Arliss,No alter egos found.,['Arlys Tigershark'],"Pasadena, California","Sub-Mariner #5 (September, 1968)",Marvel Comics,bad,Male,Human,"[""6'1"", '185 cm']","['450 lb', '203 kg']",Grey,No Hair,-,-,"Villains for Hire, Lethal Legion, Dr. Dorcas; Masters of Evil; Namor's Deep Six; Attuma's Deep Six; Offenders","Diane Newell (sister); Mara (wife, deceased); Walter Newell (brother-in-law);",https://www.superherodb.com/pictures2/portraits/10/100/10047.jpg
667,Tigra,63.0,32.0,53.0,38.0,33.0,90.0,Greer Grant Nelson,No alter egos found.,"['The Cat', 'Greer Sorenson']",Presumably Chicago Illinois USA,The Cat #1,Marvel Comics,good,Female,,"[""5'10"", '178 cm']","['180 lb', '81 kg']",Green,Auburn,"Laboratory assistant, model, adventurer, NYC police","New York City, New York USA",Avengers,"Mr. Grant (father), Mrs. Grant (mother, deceased), William Nelson (husband, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/42.jpg
668,Tinkerer,100.0,10.0,23.0,14.0,10.0,14.0,Phineas Mason,No alter egos found.,['-'],-,Amazing Spider-Man #2 (1963),Marvel Comics,bad,Male,,"[""5'4"", '163 cm']","['120 lb', '54 kg']",Brown,White,Inventor and technician serving the underworld,-,-,"Deborah Watts Mason (wife, deceased), Rick Mason (aka Agent, son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1036.jpg
669,Titan,,,,,,,,No alter egos found.,['-'],-,-,HarperCollins,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1154.jpg
670,Toad,50.0,34.0,58.0,56.0,70.0,28.0,Mortimer Toynbee,No alter egos found.,['The Terrible Toad-King'],"York, England","X-Men #4 (March, 1964)",Marvel Comics,neutral,Male,Mutant,"[""5'9"", '175 cm']","['169 lb', '76 kg']",Black,Brown,Former criminal,-,"198; (formerly) Brotherhood of Evil Mutants, Misfits; (formerly) associate of Gideon, Emma Frost",-,https://www.superherodb.com/pictures2/portraits/10/100/1125.jpg
671,Toxin,56.0,73.0,70.0,84.0,82.0,70.0,Patrick Mulligan,No alter egos found.,['Larry'],New York City,Venom vs. Carnage #1 (2004),Marvel Comics,good,Male,Symbiote,"[""6'2"", '188 cm']","['215 lb', '97 kg']",Blue,Brown,Police officer,-,Ally of Spider-Man and Black Cat,"Gina Mulligan (wife), Edward Mulligan (son), Mr. Mulligan (father), Mrs. Mulligan (mother), Carnage (""father""), Venom (""grandfather"")",https://www.superherodb.com/pictures2/portraits/10/100/848.jpg
672,Toxin,75.0,80.0,42.0,85.0,97.0,70.0,Eddie Brock,"Anti-Venom, Venom","['Eddie', 'Sister Edwina', '""Ed""', 'Edwin Brock', 'Venom', 'Lethal Protector', '998th', 'Anti-Venom', 'White Venom']","San Francisco, California",Venom Vol 2 #17,Anti-Venom,good,Male,Symbiote,"[""6'3"", '191 cm']","['260 lb', '117 kg']",Black,Blond,"Vigilante; former symbiote hunter, shelter attendant, government operative, journalist for the Daily Globe","New York, New York","Formerly; temporary partner of Agent Venom, Savage Six, Sinister Six, Revengers, former partner of Vengeance, Spider-Man, Scarlet Spider. Volunteer at F.E.A.S.T.","Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Anti-Venom Symbiote (former symbiote, uncle and former brother, deceased), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/10494.jpg
673,Tracy Strauss,,,,,,,Tracy Strauss,No alter egos found.,['Ice Queen'],"Beverly Hills, CA",-,NBC - Heroes,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,"Former aide to Senator Nathan Petrelli, Former Pinehearst consultant, former political adviser to Governor Robert Malden",-,-,"Niki Sanders (estranged triplet sister, deceased), Barbara (estranged triplet sister), W. Strauss (father), Rebecca Rosenthal (mother)",https://www.superherodb.com/pictures2/portraits/10/100/1312.jpg
674,Trickster,,,,,,,Giovanni Giuseppe,No alter egos found.,['James Jesse'],-,"Flash #113 (July, 1960)",DC Comics,-,Male,Human,"[""6'0"", '183 cm']","['179 lb', '81 kg']",Blue,Blond,"Special effects designer, con artist",Keystone City,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1468.jpg
675,Trigon,,99.0,,,,,,No alter egos found.,"['Lucifer', 'Satan,The Devil', 'Lord Trigon', 'Master Trigon', 'King Trigon', 'Conqueror of Worlds', 'Ruler of the Five Under Realms']",-,"New Teen Titans #5 (March, 1981)",DC Comics,bad,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",Yellow,Black,-,-,-,"Belial (son), Ruskoff (son), Suge (son), Raven (daughter)",https://www.superherodb.com/pictures2/portraits/10/100/10703.jpg
